index,itemName,description,icon,itenTier,itemType,attackValue,defValue,durabilityValue,attackSpeed,hpRecover,hungerRecover,thirstRecover,mentalRecover,canStack,maxStackCount
10001,목재,조잡하게 부숴진 목재. 잘 다듬으면 다시 쓸 수 있을 것 같다.,10001,1,0,,,,,,,,,TRUE,3
10002,고철,흔하게 굴러다니는 고철더미. 잘 다듬으면 다시 쓸 수 있을 것 같다.,10002,1,0,,,,,,,,,TRUE,3
10003,나사못,어딘가에서 떨어져 나온 나사못. 나사선이 살아있는걸 보니 다시 쓸 수 있다.,10003,1,0,,,,,,,,,TRUE,5
10004,빈 병,조금 더럽긴 하지만 씻기만 한다면 다시 쓸 수 있는 유리병.,10004,1,0,,,,,,,,,TRUE,3
10005,천 조각,찢겨진 천 조각. 보기에는 더러워 보이지만 조금만 세척한다면 다시 쓸 수 있다.,10005,1,0,,,,,,,,,TRUE,5
10006,부서진 날붙이,조각난 날붙이. 예리함은 다행히 살아있는 것 같다. 모아서 고정만 할 수 있다면 날붙이로 쓸 수 있다.,10006,1,0,,,,,,,,,TRUE,2
10007,통조림,아직 터지지 않은 통조림. 밀봉상태는 괜찮은 것 같다.,10007,1,0,,,,,,,,,TRUE,3
10008,물병,물이 담긴 병. 마시기 전 한번 끓여야 할 것 같다.,10008,1,0,,,,,,,,,TRUE,2
10009,채소,놀랍게도 아직 먹을 수 있는 채소. 겉에는 물로 씻는 것 만으로도 불안하니 속심만 잘라서 먹어야 할 것 같다.,10009,1,0,,,,,,,,,TRUE,2
10010,생고기,조리하지 않은 고기. 어떠한 고기인지는 알 수 없다.,10010,1,0,,,,,,,,,TRUE,2
10011,알코올,순도 높은 알코올. 소독용으로는 효과성이 충분할 것 같지만 바로 쓰기에는 어려움이 많아보인다.,10011,1,0,,,,,,,,,TRUE,3
10012,허술한 붕대,대충 천들을 씻어 간이로 만든 붕대. 큰 효과를 기대하긴 어렵다.,10012,1,1,,,,,1,,,,TRUE,4
10013,급조된 보호대,급하게 만들어진 보호대. 마감도 엉성하고 고정성도 오묘하다. 그래도 없느니만 못할 것 이다.,10013,1,4,,1,1,,,,,,FALSE,1
10014,나무 방망이,방망이라고 부르는게 부끄러운 수준의 각목 덩어리,10014,1,3,1,,1,,,,,,FALSE,1
10015,구운 고기,빠르게 불로 익힌 고기. 안은 설익고 겉은 바짝 탄 탄소 덩어리의 맛이다.,10015,1,1,,,,,,1,,,TRUE,2
10016,끓인 물,한번 끓여서 담은 물. 조금 찝찝하긴 하지만 당장의 목은 축일 수 있다.,10016,1,1,,,,,,,1,,TRUE,2
10017,조잡한 날붙이,날붙이들을 억지로 붙여 만든 무기. 잡기도 불편하고 고정성도 약하다. 그래도 최소한의 자기 보호는 할 수 있다.,10017,1,3,2,,2,,,,,,FALSE,1
10018,허술한 락픽,형태만 잡아놓은 락픽. 한번 쓰고 버릴 생각이 아니라면 쓰지 않는게 좋다.,10018,1,2,,,,,,,,,FALSE,1
10019,조잡한 절단기,형태만 만든 절단기. 녹슨 자물쇠 정도는 자를 수 있지만 금방 부서질 것 같다.,10019,1,2,,,,,,,,,FALSE,1
10020,간이 소독약,소독용 알코올을 희석시켜 만든 간이 소독약.,10020,1,1,,,,,2,,,,TRUE,3
10021,급조된 술,급조하여 만든 술. 물에 알코올을 타서 만든 그저 취하기 위해 만든 술이다.,10021,1,1,,,,,,,,1,TRUE,2
10022,통조림 스튜,고급스럽게 표현했지만 결국 통조림을 가열한 뒤 내용물을 꺼낸 스튜. 먹는데는 지장이 없으나 맛은 좋지 않다.,10022,1,1,,,,,,2,,,TRUE,2
10023,초코바,어딘가에서 주워온 초코바. 당장의 칼로리는 낼 수 있다.,10023,1,1,,,,,,3,,,TRUE,5
10024,붕대,어느정도 체계적으로 만든 붕대. 최소한 사용하는 도중 실밥이 터지거나 천 묶음이 풀리는 일은 없다.,10024,2,1,,,,,3,,,,TRUE,4
10025,덧대어진 보호대,끈을 고정시키고 공격을 막기 위해 철조각을 덧대었다. 급조된 것 보단 나으나 아직 안심하기엔 이르다.,10025,2,4,,2,2,,,,,,FALSE,1
10026,못 박은 방망이,단단한 나무로 만든 방망이에 나사못을 박아 넣었다. 일반 방망이보다는 강하게 타격할 수 있다.,10026,2,3,3,,3,,,,,,FALSE,1
10027,잘 구운 고기,어느정도 여유를 가지고 구운 고기. 향신료가 없기에 순수하게 고기맛만 나지만 충분히 맛을 음미할 수 있다.,10027,2,1,,,,,,4,,,TRUE,2
10028,정수된 물,물을 한 번 끓인 뒤 정수 과정을 거친 물. 이제는 거부감 없이 마실 수 있다.,10028,2,1,,,,,,,2,,TRUE,2
10029,날붙이,어느정도 규칙성을 가지고 만든 날붙이 묶음.,10029,2,3,4,,4,,,,,,FALSE,1
10030,다듬어진 락픽,형태만 잡아놓은 락픽. 한번 쓰고 버릴 생각이 아니라면 쓰지 않는게 좋다.,10030,2,2,,,,,,,,,FALSE,1
10031,절단기,형태만 만든 절단기. 녹슨 자물쇠 정도는 자를 수 있지만 금방 부서질 것 같다.,10031,2,2,,,,,,,,,FALSE,1
10032,소독약,소독용 알코올을 희석시켜 만든 간이 소독약.,10032,2,1,,,,,4,,,,TRUE,3
10033,소주,증류를 통해 만들어 낸 소주. 깊은 맛을 기대하긴 글렀지만 대충 알코올을 부은 것 보단 나은 맛이다.,10033,2,1,,,,,,,,2,TRUE,2
10034,통조림 요리,생존을 위해 만든 요리. 좋게 이야기 한다면 요리지만 엄밀히 말하자면 군대식 밥 같다.,10034,2,1,,,,,,5,,,TRUE,2
10035,붕대 세트,상처부위에 덧댈 거즈를 포함시킨 붕대 세트. 착용감까지 고려하여 매듭도 섬세하게 묶었다.,10035,3,1,,,,,5,,,,TRUE,4
10036,보호구,고정용 끈부터 시작하여 방어 면적까지 고려해서 만든 보호구. 이제 믿을 수 있는 정도의 방어력을 얻었다.,10036,3,4,,3,3,,,,,,FALSE,1
10037,쇠방망이,고철들을 가공하여 만든 쇠방망이.,10037,3,3,5,,5,,,,,,FALSE,1
10038,훈제 고기,시간을 오래 들여 만든 고기. 향신료가 없기에 훈제향으로 덮어씌워 불에 굽기만 한 고기보다 더 나은 풍미를 느낄 수 있다.,10038,3,1,,,,,,6,,,TRUE,2
10039,정제수,여러 번의 여과 과정을 거치면서 만든 정제수. 가장 깔끔한 물맛이 난다.,10039,3,1,,,,,,,3,,TRUE,2
10040,나이프,날붙이들을 정교하게 이어붙여 만든 나이프. 꽤나 튼튼하게 만들었다.,10040,3,3,6,,6,,,,,,FALSE,1
10041,정교한 락픽,정교하게 만들어진 락픽. 복잡한 자물쇠도 열 수 있다.,10041,3,2,,,,,,,,,FALSE,1
10042,튼튼한 절단기,녹슬지 않은 쇠사슬도 자를 수 있다.,10042,3,2,,,,,,,,,FALSE,1
10043,소독 세트,2차 감염을 막기 위해 소독 후 깨끗한 천으로 상처 부위를 막을 수 있도록 만든 소독용 세트.,10043,3,1,,,,,6,,,,TRUE,3
10044,증류주,소주를 만들 때 보다 정교하게 증류시켰다. 덕분에 숙취도 적다.,10044,3,1,,,,,,,,3,TRUE,2
10045,정식 스튜,야채와 고기 그리고 통조림을 넣어서 만든 스튜. 통조림만 먹을 때 보다 풍성한 맛을 낸다.,10045,3,1,,,,,,7,,,TRUE,2
